[5.05, 5.15] [3.45, 3.55] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.35, 5.45] [3.35, 3.45] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.15, 5.25] [3.85, 4.4] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.45, 5.55] [3.85, 4.4] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.85, 4.95] [3.05, 3.15] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.95, 5.05] [3.15, 3.25] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.45, 5.55] [3.45, 3.55] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.85, 4.95] [3.05, 3.15] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [2.95, 3.05] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.05, 5.15] [3.35, 3.45] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.95, 5.05] [3.45, 3.55] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [2.25, 2.45] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [3.15, 3.25] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.95, 5.05] [3.45, 3.55] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.05, 5.15] [3.75, 3.85] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [2.95, 3.05] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.05, 5.15] [3.75, 3.85] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.3, 4.85] [3.15, 3.25] [1, 2.95] [0.1, 0.95] Iris-setosa 
[5.25, 5.35] [3.65, 3.75] [1, 2.95] [0.1, 0.95] Iris-setosa 
[4.95, 5.05] [3.25, 3.35] [1, 2.95] [0.1, 0.95] Iris-setosa 
[6.95, 7.05] [3.15, 3.25] [4.55, 4.75] [1.35, 1.45] Iris-versicolor 
[6.35, 6.45] [3.15, 3.25] [4.45, 4.55] [1.45, 1.55] Iris-versicolor 
[6.85, 6.95] [3.05, 3.15] [4.85, 4.95] [1.45, 1.55] Iris-versicolor 
[5.45, 5.55] [2.25, 2.45] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[6.45, 6.55] [2.75, 2.85] [4.55, 4.75] [1.45, 1.55] Iris-versicolor 
[5.65, 5.75] [2.75, 2.85] [4.45, 4.55] [0.95, 1.35] Iris-versicolor 
[6.25, 6.35] [3.25, 3.35] [4.55, 4.75] [1.55, 1.65] Iris-versicolor 
[4.85, 4.95] [2.25, 2.45] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[6.55, 6.65] [2.85, 2.95] [4.55, 4.75] [0.95, 1.35] Iris-versicolor 
[5.15, 5.25] [2.65, 2.75] [2.95, 4.45] [1.35, 1.45] Iris-versicolor 
[4.95, 5.05] [2, 2.15] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[5.85, 5.95] [2.95, 3.05] [2.95, 4.45] [1.45, 1.55] Iris-versicolor 
[5.95, 6.05] [2.15, 2.25] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[6.05, 6.15] [2.85, 2.95] [4.55, 4.75] [1.35, 1.45] Iris-versicolor 
[5.55, 5.65] [2.85, 2.95] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[6.65, 6.75] [3.05, 3.15] [2.95, 4.45] [1.35, 1.45] Iris-versicolor 
[5.55, 5.65] [2.95, 3.05] [4.45, 4.55] [1.45, 1.55] Iris-versicolor 
[5.75, 5.85] [2.65, 2.75] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[6.15, 6.25] [2.15, 2.25] [4.45, 4.55] [1.45, 1.55] Iris-versicolor 
[5.55, 5.65] [2.45, 2.55] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[5.85, 5.95] [3.15, 3.25] [4.75, 4.85] [1.75, 2.5] Iris-versicolor 
[6.05, 6.15] [2.75, 2.85] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[6.25, 6.35] [2.45, 2.55] [4.85, 4.95] [1.45, 1.55] Iris-versicolor 
[6.05, 6.15] [2.75, 2.85] [4.55, 4.75] [0.95, 1.35] Iris-versicolor 
[6.35, 6.45] [2.85, 2.95] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[6.55, 6.65] [2.95, 3.05] [2.95, 4.45] [1.35, 1.45] Iris-versicolor 
[6.75, 6.85] [2.75, 2.85] [4.75, 4.85] [1.35, 1.45] Iris-versicolor 
[6.65, 6.75] [2.95, 3.05] [4.95, 5.05] [1.65, 1.75] Iris-versicolor 
[5.95, 6.05] [2.85, 2.95] [4.45, 4.55] [1.45, 1.55] Iris-versicolor 
[5.65, 5.75] [2.55, 2.65] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[5.45, 5.55] [2.25, 2.45] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[5.45, 5.55] [2.25, 2.45] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[5.75, 5.85] [2.65, 2.75] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[5.95, 6.05] [2.65, 2.75] [5.05, 6.9] [1.55, 1.65] Iris-versicolor 
[5.35, 5.45] [2.95, 3.05] [4.45, 4.55] [1.45, 1.55] Iris-versicolor 
[5.95, 6.05] [3.35, 3.45] [4.45, 4.55] [1.55, 1.65] Iris-versicolor 
[6.65, 6.75] [3.05, 3.15] [4.55, 4.75] [1.45, 1.55] Iris-versicolor 
[6.25, 6.35] [2.25, 2.45] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[5.55, 5.65] [2.95, 3.05] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[5.45, 5.55] [2.45, 2.55] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[5.45, 5.55] [2.55, 2.65] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[6.05, 6.15] [2.95, 3.05] [4.55, 4.75] [1.35, 1.45] Iris-versicolor 
[5.75, 5.85] [2.55, 2.65] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[4.95, 5.05] [2.25, 2.45] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[5.55, 5.65] [2.65, 2.75] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[5.65, 5.75] [2.95, 3.05] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[5.65, 5.75] [2.85, 2.95] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[6.15, 6.25] [2.85, 2.95] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[5.05, 5.15] [2.45, 2.55] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[5.65, 5.75] [2.75, 2.85] [2.95, 4.45] [0.95, 1.35] Iris-versicolor 
[6.25, 6.35] [3.25, 3.35] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[5.75, 5.85] [2.65, 2.75] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[7.05, 7.9] [2.95, 3.05] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.25, 6.35] [2.85, 2.95] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.45, 6.55] [2.95, 3.05] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[7.05, 7.9] [2.95, 3.05] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[4.85, 4.95] [2.45, 2.55] [4.45, 4.55] [1.65, 1.75] Iris-virginica 
[7.05, 7.9] [2.85, 2.95] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.65, 6.75] [2.45, 2.55] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[7.05, 7.9] [3.55, 3.65] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.45, 6.55] [3.15, 3.25] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.35, 6.45] [2.65, 2.75] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.75, 6.85] [2.95, 3.05] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[5.65, 5.75] [2.45, 2.55] [4.95, 5.05] [1.75, 2.5] Iris-virginica 
[5.75, 5.85] [2.75, 2.85] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.35, 6.45] [3.15, 3.25] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.45, 6.55] [2.95, 3.05] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[7.05, 7.9] [3.75, 3.85] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[7.05, 7.9] [2.55, 2.65] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[5.95, 6.05] [2.15, 2.25] [4.95, 5.05] [1.45, 1.55] Iris-virginica 
[6.85, 6.95] [3.15, 3.25] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[5.55, 5.65] [2.75, 2.85] [4.85, 4.95] [1.75, 2.5] Iris-virginica 
[7.05, 7.9] [2.75, 2.85] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.25, 6.35] [2.65, 2.75] [4.85, 4.95] [1.75, 2.5] Iris-virginica 
[6.65, 6.75] [3.25, 3.35] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[7.05, 7.9] [3.15, 3.25] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.15, 6.25] [2.75, 2.85] [4.75, 4.85] [1.75, 2.5] Iris-virginica 
[6.05, 6.15] [2.95, 3.05] [4.85, 4.95] [1.75, 2.5] Iris-virginica 
[6.35, 6.45] [2.75, 2.85] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[7.05, 7.9] [2.95, 3.05] [5.05, 6.9] [1.55, 1.65] Iris-virginica 
[7.05, 7.9] [2.75, 2.85] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[7.05, 7.9] [3.75, 3.85] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.35, 6.45] [2.75, 2.85] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.25, 6.35] [2.75, 2.85] [5.05, 6.9] [1.45, 1.55] Iris-virginica 
[6.05, 6.15] [2.55, 2.65] [5.05, 6.9] [1.35, 1.45] Iris-virginica 
[7.05, 7.9] [2.95, 3.05] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.25, 6.35] [3.35, 3.45] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.35, 6.45] [3.05, 3.15] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[5.95, 6.05] [2.95, 3.05] [4.75, 4.85] [1.75, 2.5] Iris-virginica 
[6.85, 6.95] [3.05, 3.15] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.65, 6.75] [3.05, 3.15] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.85, 6.95] [3.05, 3.15] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[5.75, 5.85] [2.65, 2.75] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.75, 6.85] [3.15, 3.25] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.65, 6.75] [3.25, 3.35] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.65, 6.75] [2.95, 3.05] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.25, 6.35] [2.45, 2.55] [4.95, 5.05] [1.75, 2.5] Iris-virginica 
[6.45, 6.55] [2.95, 3.05] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[6.15, 6.25] [3.35, 3.45] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
[5.85, 5.95] [2.95, 3.05] [5.05, 6.9] [1.75, 2.5] Iris-virginica 
