ID,parents,has_nurs,form,children,housing,finance,social,health,class
85,usual,proper,complete,2,less_conv,inconv,slightly_prob,recommended,very_recom
86,usual,proper,complete,2,less_conv,inconv,slightly_prob,priority,priority
87,usual,proper,complete,2,less_conv,inconv,slightly_prob,not_recom,not_recom
88,usual,proper,complete,2,less_conv,inconv,problematic,recommended,priority
89,usual,proper,complete,2,less_conv,inconv,problematic,priority,priority
90,usual,proper,complete,2,less_conv,inconv,problematic,not_recom,not_recom
91,usual,proper,complete,2,critical,convenient,nonprob,recommended,priority
92,usual,proper,complete,2,critical,convenient,nonprob,priority,priority
93,usual,proper,complete,2,critical,convenient,nonprob,not_recom,not_recom
94,usual,proper,complete,2,critical,convenient,slightly_prob,recommended,priority
95,usual,proper,complete,2,critical,convenient,slightly_prob,priority,priority
96,usual,proper,complete,2,critical,convenient,slightly_prob,not_recom,not_recom
97,usual,proper,complete,2,critical,convenient,problematic,recommended,priority
98,usual,proper,complete,2,critical,convenient,problematic,priority,priority
99,usual,proper,complete,2,critical,convenient,problematic,not_recom,not_recom
100,usual,proper,complete,2,critical,inconv,nonprob,recommended,priority
101,usual,proper,complete,2,critical,inconv,nonprob,priority,priority
102,usual,proper,complete,2,critical,inconv,nonprob,not_recom,not_recom
103,usual,proper,complete,2,critical,inconv,slightly_prob,recommended,priority
104,usual,proper,complete,2,critical,inconv,slightly_prob,priority,priority
105,usual,proper,complete,2,critical,inconv,slightly_prob,not_recom,not_recom
106,usual,proper,complete,2,critical,inconv,problematic,recommended,priority
107,usual,proper,complete,2,critical,inconv,problematic,priority,priority
108,usual,proper,complete,2,critical,inconv,problematic,not_recom,not_recom
109,usual,proper,complete,3,convenient,convenient,nonprob,recommended,very_recom
110,usual,proper,complete,3,convenient,convenient,nonprob,priority,priority
111,usual,proper,complete,3,convenient,convenient,nonprob,not_recom,not_recom
112,usual,proper,complete,3,convenient,convenient,slightly_prob,recommended,very_recom
113,usual,proper,complete,3,convenient,convenient,slightly_prob,priority,priority
114,usual,proper,complete,3,convenient,convenient,slightly_prob,not_recom,not_recom
115,usual,proper,complete,3,convenient,convenient,problematic,recommended,priority
116,usual,proper,complete,3,convenient,convenient,problematic,priority,priority
117,usual,proper,complete,3,convenient,convenient,problematic,not_recom,not_recom
118,usual,proper,complete,3,convenient,inconv,nonprob,recommended,priority
119,usual,proper,complete,3,convenient,inconv,nonprob,priority,priority
120,usual,proper,complete,3,convenient,inconv,nonprob,not_recom,not_recom
121,usual,proper,complete,3,convenient,inconv,slightly_prob,recommended,priority
122,usual,proper,complete,3,convenient,inconv,slightly_prob,priority,priority
123,usual,proper,complete,3,convenient,inconv,slightly_prob,not_recom,not_recom
124,usual,proper,complete,3,convenient,inconv,problematic,recommended,priority
125,usual,proper,complete,3,convenient,inconv,problematic,priority,priority
126,usual,proper,complete,3,convenient,inconv,problematic,not_recom,not_recom
127,usual,proper,complete,3,less_conv,convenient,nonprob,recommended,priority
128,usual,proper,complete,3,less_conv,convenient,nonprob,priority,priority
129,usual,proper,complete,3,less_conv,convenient,nonprob,not_recom,not_recom
130,usual,proper,complete,3,less_conv,convenient,slightly_prob,recommended,priority
131,usual,proper,complete,3,less_conv,convenient,slightly_prob,priority,priority
132,usual,proper,complete,3,less_conv,convenient,slightly_prob,not_recom,not_recom
133,usual,proper,complete,3,less_conv,convenient,problematic,recommended,priority
134,usual,proper,complete,3,less_conv,convenient,problematic,priority,priority
135,usual,proper,complete,3,less_conv,convenient,problematic,not_recom,not_recom
136,usual,proper,complete,3,less_conv,inconv,nonprob,recommended,priority
137,usual,proper,complete,3,less_conv,inconv,nonprob,priority,priority
138,usual,proper,complete,3,less_conv,inconv,nonprob,not_recom,not_recom
139,usual,proper,complete,3,less_conv,inconv,slightly_prob,recommended,priority
140,usual,proper,complete,3,less_conv,inconv,slightly_prob,priority,priority
141,usual,proper,complete,3,less_conv,inconv,slightly_prob,not_recom,not_recom
142,usual,proper,complete,3,less_conv,inconv,problematic,recommended,priority
143,usual,proper,complete,3,less_conv,inconv,problematic,priority,priority
144,usual,proper,complete,3,less_conv,inconv,problematic,not_recom,not_recom
145,usual,proper,complete,3,critical,convenient,nonprob,recommended,priority
146,usual,proper,complete,3,critical,convenient,nonprob,priority,priority
147,usual,proper,complete,3,critical,convenient,nonprob,not_recom,not_recom
148,usual,proper,complete,3,critical,convenient,slightly_prob,recommended,priority
149,usual,proper,complete,3,critical,convenient,slightly_prob,priority,priority
150,usual,proper,complete,3,critical,convenient,slightly_prob,not_recom,not_recom
151,usual,proper,complete,3,critical,convenient,problematic,recommended,priority
152,usual,proper,complete,3,critical,convenient,problematic,priority,priority
153,usual,proper,complete,3,critical,convenient,problematic,not_recom,not_recom
154,usual,proper,complete,3,critical,inconv,nonprob,recommended,priority
155,usual,proper,complete,3,critical,inconv,nonprob,priority,priority
156,usual,proper,complete,3,critical,inconv,nonprob,not_recom,not_recom
157,usual,proper,complete,3,critical,inconv,slightly_prob,recommended,priority
158,usual,proper,complete,3,critical,inconv,slightly_prob,priority,priority
159,usual,proper,complete,3,critical,inconv,slightly_prob,not_recom,not_recom
160,usual,proper,complete,3,critical,inconv,problematic,recommended,priority
161,usual,proper,complete,3,critical,inconv,problematic,priority,priority
162,usual,proper,complete,3,critical,inconv,problematic,not_recom,not_recom
163,usual,proper,complete,more,convenient,convenient,nonprob,recommended,very_recom
164,usual,proper,complete,more,convenient,convenient,nonprob,priority,priority
165,usual,proper,complete,more,convenient,convenient,nonprob,not_recom,not_recom
166,usual,proper,complete,more,convenient,convenient,slightly_prob,recommended,very_recom
167,usual,proper,complete,more,convenient,convenient,slightly_prob,priority,priority
168,usual,proper,complete,more,convenient,convenient,slightly_prob,not_recom,not_recom
169,usual,proper,complete,more,convenient,convenient,problematic,recommended,priority
170,usual,proper,complete,more,convenient,convenient,problematic,priority,priority
171,usual,proper,complete,more,convenient,convenient,problematic,not_recom,not_recom
172,usual,proper,complete,more,convenient,inconv,nonprob,recommended,priority
173,usual,proper,complete,more,convenient,inconv,nonprob,priority,priority
174,usual,proper,complete,more,convenient,inconv,nonprob,not_recom,not_recom
175,usual,proper,complete,more,convenient,inconv,slightly_prob,recommended,priority
176,usual,proper,complete,more,convenient,inconv,slightly_prob,priority,priority
177,usual,proper,complete,more,convenient,inconv,slightly_prob,not_recom,not_recom
178,usual,proper,complete,more,convenient,inconv,problematic,recommended,priority
179,usual,proper,complete,more,convenient,inconv,problematic,priority,priority
180,usual,proper,complete,more,convenient,inconv,problematic,not_recom,not_recom
181,usual,proper,complete,more,less_conv,convenient,nonprob,recommended,priority
182,usual,proper,complete,more,less_conv,convenient,nonprob,priority,priority
183,usual,proper,complete,more,less_conv,convenient,nonprob,not_recom,not_recom
184,usual,proper,complete,more,less_conv,convenient,slightly_prob,recommended,priority
185,usual,proper,complete,more,less_conv,convenient,slightly_prob,priority,priority
186,usual,proper,complete,more,less_conv,convenient,slightly_prob,not_recom,not_recom
187,usual,proper,complete,more,less_conv,convenient,problematic,recommended,priority
188,usual,proper,complete,more,less_conv,convenient,problematic,priority,priority
189,usual,proper,complete,more,less_conv,convenient,problematic,not_recom,not_recom
190,usual,proper,complete,more,less_conv,inconv,nonprob,recommended,priority
191,usual,proper,complete,more,less_conv,inconv,nonprob,priority,priority
192,usual,proper,complete,more,less_conv,inconv,nonprob,not_recom,not_recom
193,usual,proper,complete,more,less_conv,inconv,slightly_prob,recommended,priority
194,usual,proper,complete,more,less_conv,inconv,slightly_prob,priority,priority
195,usual,proper,complete,more,less_conv,inconv,slightly_prob,not_recom,not_recom
196,usual,proper,complete,more,less_conv,inconv,problematic,recommended,priority
197,usual,proper,complete,more,less_conv,inconv,problematic,priority,priority
198,usual,proper,complete,more,less_conv,inconv,problematic,not_recom,not_recom
199,usual,proper,complete,more,critical,convenient,nonprob,recommended,priority
200,usual,proper,complete,more,critical,convenient,nonprob,priority,priority
201,usual,proper,complete,more,critical,convenient,nonprob,not_recom,not_recom
202,usual,proper,complete,more,critical,convenient,slightly_prob,recommended,priority
203,usual,proper,complete,more,critical,convenient,slightly_prob,priority,priority
204,usual,proper,complete,more,critical,convenient,slightly_prob,not_recom,not_recom
205,usual,proper,complete,more,critical,convenient,problematic,recommended,priority
206,usual,proper,complete,more,critical,convenient,problematic,priority,priority
207,usual,proper,complete,more,critical,convenient,problematic,not_recom,not_recom
208,usual,proper,complete,more,critical,inconv,nonprob,recommended,priority
209,usual,proper,complete,more,critical,inconv,nonprob,priority,priority
210,usual,proper,complete,more,critical,inconv,nonprob,not_recom,not_recom
211,usual,proper,complete,more,critical,inconv,slightly_prob,recommended,priority
212,usual,proper,complete,more,critical,inconv,slightly_prob,priority,priority
213,usual,proper,complete,more,critical,inconv,slightly_prob,not_recom,not_recom
214,usual,proper,complete,more,critical,inconv,problematic,recommended,priority
215,usual,proper,complete,more,critical,inconv,problematic,priority,priority
216,usual,proper,complete,more,critical,inconv,problematic,not_recom,not_recom
217,usual,proper,completed,1,convenient,convenient,nonprob,recommended,very_recom
218,usual,proper,completed,1,convenient,convenient,nonprob,priority,priority
219,usual,proper,completed,1,convenient,convenient,nonprob,not_recom,not_recom
220,usual,proper,completed,1,convenient,convenient,slightly_prob,recommended,very_recom
221,usual,proper,completed,1,convenient,convenient,slightly_prob,priority,priority
222,usual,proper,completed,1,convenient,convenient,slightly_prob,not_recom,not_recom
223,usual,proper,completed,1,convenient,convenient,problematic,recommended,priority
224,usual,proper,completed,1,convenient,convenient,problematic,priority,priority
225,usual,proper,completed,1,convenient,convenient,problematic,not_recom,not_recom
226,usual,proper,completed,1,convenient,inconv,nonprob,recommended,very_recom
227,usual,proper,completed,1,convenient,inconv,nonprob,priority,priority
228,usual,proper,completed,1,convenient,inconv,nonprob,not_recom,not_recom
229,usual,proper,completed,1,convenient,inconv,slightly_prob,recommended,very_recom
230,usual,proper,completed,1,convenient,inconv,slightly_prob,priority,priority
231,usual,proper,completed,1,convenient,inconv,slightly_prob,not_recom,not_recom
232,usual,proper,completed,1,convenient,inconv,problematic,recommended,priority
233,usual,proper,completed,1,convenient,inconv,problematic,priority,priority
234,usual,proper,completed,1,convenient,inconv,problematic,not_recom,not_recom
235,usual,proper,completed,1,less_conv,convenient,nonprob,recommended,very_recom
236,usual,proper,completed,1,less_conv,convenient,nonprob,priority,priority
237,usual,proper,completed,1,less_conv,convenient,nonprob,not_recom,not_recom
238,usual,proper,completed,1,less_conv,convenient,slightly_prob,recommended,very_recom
239,usual,proper,completed,1,less_conv,convenient,slightly_prob,priority,priority
240,usual,proper,completed,1,less_conv,convenient,slightly_prob,not_recom,not_recom
241,usual,proper,completed,1,less_conv,convenient,problematic,recommended,priority
242,usual,proper,completed,1,less_conv,convenient,problematic,priority,priority
243,usual,proper,completed,1,less_conv,convenient,problematic,not_recom,not_recom
244,usual,proper,completed,1,less_conv,inconv,nonprob,recommended,very_recom
245,usual,proper,completed,1,less_conv,inconv,nonprob,priority,priority
246,usual,proper,completed,1,less_conv,inconv,nonprob,not_recom,not_recom
247,usual,proper,completed,1,less_conv,inconv,slightly_prob,recommended,very_recom
248,usual,proper,completed,1,less_conv,inconv,slightly_prob,priority,priority
249,usual,proper,completed,1,less_conv,inconv,slightly_prob,not_recom,not_recom
250,usual,proper,completed,1,less_conv,inconv,problematic,recommended,priority
251,usual,proper,completed,1,less_conv,inconv,problematic,priority,priority
252,usual,proper,completed,1,less_conv,inconv,problematic,not_recom,not_recom
253,usual,proper,completed,1,critical,convenient,nonprob,recommended,priority
254,usual,proper,completed,1,critical,convenient,nonprob,priority,priority
255,usual,proper,completed,1,critical,convenient,nonprob,not_recom,not_recom
256,usual,proper,completed,1,critical,convenient,slightly_prob,recommended,priority
257,usual,proper,completed,1,critical,convenient,slightly_prob,priority,priority
258,usual,proper,completed,1,critical,convenient,slightly_prob,not_recom,not_recom
259,usual,proper,completed,1,critical,convenient,problematic,recommended,priority
260,usual,proper,completed,1,critical,convenient,problematic,priority,priority
261,usual,proper,completed,1,critical,convenient,problematic,not_recom,not_recom
262,usual,proper,completed,1,critical,inconv,nonprob,recommended,priority
263,usual,proper,completed,1,critical,inconv,nonprob,priority,priority
264,usual,proper,completed,1,critical,inconv,nonprob,not_recom,not_recom
265,usual,proper,completed,1,critical,inconv,slightly_prob,recommended,priority
266,usual,proper,completed,1,critical,inconv,slightly_prob,priority,priority
267,usual,proper,completed,1,critical,inconv,slightly_prob,not_recom,not_recom
268,usual,proper,completed,1,critical,inconv,problematic,recommended,priority
269,usual,proper,completed,1,critical,inconv,problematic,priority,priority
270,usual,proper,completed,1,critical,inconv,problematic,not_recom,not_recom
271,usual,proper,completed,2,convenient,convenient,nonprob,recommended,very_recom
272,usual,proper,completed,2,convenient,convenient,nonprob,priority,priority
273,usual,proper,completed,2,convenient,convenient,nonprob,not_recom,not_recom
274,usual,proper,completed,2,convenient,convenient,slightly_prob,recommended,very_recom
275,usual,proper,completed,2,convenient,convenient,slightly_prob,priority,priority
276,usual,proper,completed,2,convenient,convenient,slightly_prob,not_recom,not_recom
277,usual,proper,completed,2,convenient,convenient,problematic,recommended,priority
278,usual,proper,completed,2,convenient,convenient,problematic,priority,priority
279,usual,proper,completed,2,convenient,convenient,problematic,not_recom,not_recom
280,usual,proper,completed,2,convenient,inconv,nonprob,recommended,very_recom
281,usual,proper,completed,2,convenient,inconv,nonprob,priority,priority
282,usual,proper,completed,2,convenient,inconv,nonprob,not_recom,not_recom
283,usual,proper,completed,2,convenient,inconv,slightly_prob,recommended,very_recom
284,usual,proper,completed,2,convenient,inconv,slightly_prob,priority,priority
285,usual,proper,completed,2,convenient,inconv,slightly_prob,not_recom,not_recom
286,usual,proper,completed,2,convenient,inconv,problematic,recommended,priority
287,usual,proper,completed,2,convenient,inconv,problematic,priority,priority
288,usual,proper,completed,2,convenient,inconv,problematic,not_recom,not_recom
289,usual,proper,completed,2,less_conv,convenient,nonprob,recommended,very_recom
290,usual,proper,completed,2,less_conv,convenient,nonprob,priority,priority
291,usual,proper,completed,2,less_conv,convenient,nonprob,not_recom,not_recom
292,usual,proper,completed,2,less_conv,convenient,slightly_prob,recommended,very_recom
293,usual,proper,completed,2,less_conv,convenient,slightly_prob,priority,priority
294,usual,proper,completed,2,less_conv,convenient,slightly_prob,not_recom,not_recom
295,usual,proper,completed,2,less_conv,convenient,problematic,recommended,priority
296,usual,proper,completed,2,less_conv,convenient,problematic,priority,priority
297,usual,proper,completed,2,less_conv,convenient,problematic,not_recom,not_recom
298,usual,proper,completed,2,less_conv,inconv,nonprob,recommended,very_recom
299,usual,proper,completed,2,less_conv,inconv,nonprob,priority,priority
300,usual,proper,completed,2,less_conv,inconv,nonprob,not_recom,not_recom
301,usual,proper,completed,2,less_conv,inconv,slightly_prob,recommended,very_recom
302,usual,proper,completed,2,less_conv,inconv,slightly_prob,priority,priority
303,usual,proper,completed,2,less_conv,inconv,slightly_prob,not_recom,not_recom
304,usual,proper,completed,2,less_conv,inconv,problematic,recommended,priority
305,usual,proper,completed,2,less_conv,inconv,problematic,priority,priority
306,usual,proper,completed,2,less_conv,inconv,problematic,not_recom,not_recom
307,usual,proper,completed,2,critical,convenient,nonprob,recommended,priority
308,usual,proper,completed,2,critical,convenient,nonprob,priority,priority
309,usual,proper,completed,2,critical,convenient,nonprob,not_recom,not_recom
310,usual,proper,completed,2,critical,convenient,slightly_prob,recommended,priority
311,usual,proper,completed,2,critical,convenient,slightly_prob,priority,priority
312,usual,proper,completed,2,critical,convenient,slightly_prob,not_recom,not_recom
313,usual,proper,completed,2,critical,convenient,problematic,recommended,priority
314,usual,proper,completed,2,critical,convenient,problematic,priority,priority
315,usual,proper,completed,2,critical,convenient,problematic,not_recom,not_recom
316,usual,proper,completed,2,critical,inconv,nonprob,recommended,priority
317,usual,proper,completed,2,critical,inconv,nonprob,priority,priority
318,usual,proper,completed,2,critical,inconv,nonprob,not_recom,not_recom
319,usual,proper,completed,2,critical,inconv,slightly_prob,recommended,priority
320,usual,proper,completed,2,critical,inconv,slightly_prob,priority,priority
321,usual,proper,completed,2,critical,inconv,slightly_prob,not_recom,not_recom
322,usual,proper,completed,2,critical,inconv,problematic,recommended,priority
323,usual,proper,completed,2,critical,inconv,problematic,priority,priority
324,usual,proper,completed,2,critical,inconv,problematic,not_recom,not_recom
325,usual,proper,completed,3,convenient,convenient,nonprob,recommended,very_recom
326,usual,proper,completed,3,convenient,convenient,nonprob,priority,priority
327,usual,proper,completed,3,convenient,convenient,nonprob,not_recom,not_recom
328,usual,proper,completed,3,convenient,convenient,slightly_prob,recommended,very_recom
329,usual,proper,completed,3,convenient,convenient,slightly_prob,priority,priority
330,usual,proper,completed,3,convenient,convenient,slightly_prob,not_recom,not_recom
331,usual,proper,completed,3,convenient,convenient,problematic,recommended,priority
332,usual,proper,completed,3,convenient,convenient,problematic,priority,priority
333,usual,proper,completed,3,convenient,convenient,problematic,not_recom,not_recom
334,usual,proper,completed,3,convenient,inconv,nonprob,recommended,priority
335,usual,proper,completed,3,convenient,inconv,nonprob,priority,priority
336,usual,proper,completed,3,convenient,inconv,nonprob,not_recom,not_recom
337,usual,proper,completed,3,convenient,inconv,slightly_prob,recommended,priority
338,usual,proper,completed,3,convenient,inconv,slightly_prob,priority,priority
339,usual,proper,completed,3,convenient,inconv,slightly_prob,not_recom,not_recom
340,usual,proper,completed,3,convenient,inconv,problematic,recommended,priority
341,usual,proper,completed,3,convenient,inconv,problematic,priority,priority
342,usual,proper,completed,3,convenient,inconv,problematic,not_recom,not_recom
343,usual,proper,completed,3,less_conv,convenient,nonprob,recommended,priority
344,usual,proper,completed,3,less_conv,convenient,nonprob,priority,priority
345,usual,proper,completed,3,less_conv,convenient,nonprob,not_recom,not_recom
346,usual,proper,completed,3,less_conv,convenient,slightly_prob,recommended,priority
347,usual,proper,completed,3,less_conv,convenient,slightly_prob,priority,priority
348,usual,proper,completed,3,less_conv,convenient,slightly_prob,not_recom,not_recom
349,usual,proper,completed,3,less_conv,convenient,problematic,recommended,priority
350,usual,proper,completed,3,less_conv,convenient,problematic,priority,priority
351,usual,proper,completed,3,less_conv,convenient,problematic,not_recom,not_recom
352,usual,proper,completed,3,less_conv,inconv,nonprob,recommended,priority
353,usual,proper,completed,3,less_conv,inconv,nonprob,priority,priority
354,usual,proper,completed,3,less_conv,inconv,nonprob,not_recom,not_recom
355,usual,proper,completed,3,less_conv,inconv,slightly_prob,recommended,priority
356,usual,proper,completed,3,less_conv,inconv,slightly_prob,priority,priority
357,usual,proper,completed,3,less_conv,inconv,slightly_prob,not_recom,not_recom
358,usual,proper,completed,3,less_conv,inconv,problematic,recommended,priority
359,usual,proper,completed,3,less_conv,inconv,problematic,priority,priority
360,usual,proper,completed,3,less_conv,inconv,problematic,not_recom,not_recom
361,usual,proper,completed,3,critical,convenient,nonprob,recommended,priority
362,usual,proper,completed,3,critical,convenient,nonprob,priority,priority
363,usual,proper,completed,3,critical,convenient,nonprob,not_recom,not_recom
364,usual,proper,completed,3,critical,convenient,slightly_prob,recommended,priority
365,usual,proper,completed,3,critical,convenient,slightly_prob,priority,priority
366,usual,proper,completed,3,critical,convenient,slightly_prob,not_recom,not_recom
367,usual,proper,completed,3,critical,convenient,problematic,recommended,priority
368,usual,proper,completed,3,critical,convenient,problematic,priority,priority
369,usual,proper,completed,3,critical,convenient,problematic,not_recom,not_recom
370,usual,proper,completed,3,critical,inconv,nonprob,recommended,priority
371,usual,proper,completed,3,critical,inconv,nonprob,priority,priority
372,usual,proper,completed,3,critical,inconv,nonprob,not_recom,not_recom
373,usual,proper,completed,3,critical,inconv,slightly_prob,recommended,priority
374,usual,proper,completed,3,critical,inconv,slightly_prob,priority,priority
375,usual,proper,completed,3,critical,inconv,slightly_prob,not_recom,not_recom
376,usual,proper,completed,3,critical,inconv,problematic,recommended,priority
377,usual,proper,completed,3,critical,inconv,problematic,priority,priority
378,usual,proper,completed,3,critical,inconv,problematic,not_recom,not_recom
379,usual,proper,completed,more,convenient,convenient,nonprob,recommended,very_recom
380,usual,proper,completed,more,convenient,convenient,nonprob,priority,priority
381,usual,proper,completed,more,convenient,convenient,nonprob,not_recom,not_recom
382,usual,proper,completed,more,convenient,convenient,slightly_prob,recommended,very_recom
383,usual,proper,completed,more,convenient,convenient,slightly_prob,priority,priority
384,usual,proper,completed,more,convenient,convenient,slightly_prob,not_recom,not_recom
385,usual,proper,completed,more,convenient,convenient,problematic,recommended,priority
386,usual,proper,completed,more,convenient,convenient,problematic,priority,priority
387,usual,proper,completed,more,convenient,convenient,problematic,not_recom,not_recom
388,usual,proper,completed,more,convenient,inconv,nonprob,recommended,priority
389,usual,proper,completed,more,convenient,inconv,nonprob,priority,priority
390,usual,proper,completed,more,convenient,inconv,nonprob,not_recom,not_recom
391,usual,proper,completed,more,convenient,inconv,slightly_prob,recommended,priority
392,usual,proper,completed,more,convenient,inconv,slightly_prob,priority,priority
393,usual,proper,completed,more,convenient,inconv,slightly_prob,not_recom,not_recom
394,usual,proper,completed,more,convenient,inconv,problematic,recommended,priority
395,usual,proper,completed,more,convenient,inconv,problematic,priority,priority
396,usual,proper,completed,more,convenient,inconv,problematic,not_recom,not_recom
397,usual,proper,completed,more,less_conv,convenient,nonprob,recommended,priority
398,usual,proper,completed,more,less_conv,convenient,nonprob,priority,priority
399,usual,proper,completed,more,less_conv,convenient,nonprob,not_recom,not_recom
400,usual,proper,completed,more,less_conv,convenient,slightly_prob,recommended,priority
401,usual,proper,completed,more,less_conv,convenient,slightly_prob,priority,priority
402,usual,proper,completed,more,less_conv,convenient,slightly_prob,not_recom,not_recom
403,usual,proper,completed,more,less_conv,convenient,problematic,recommended,priority
404,usual,proper,completed,more,less_conv,convenient,problematic,priority,priority
405,usual,proper,completed,more,less_conv,convenient,problematic,not_recom,not_recom
406,usual,proper,completed,more,less_conv,inconv,nonprob,recommended,priority
407,usual,proper,completed,more,less_conv,inconv,nonprob,priority,priority
